Communes;0;0,5;1;2;>2;Effectifs;Eff_Réelle;Pourcentage
Ambès;24,354;222,954;1085,818;1719,868;0;3052,994;3028,64;0,383608441
Ambarès-et-Lagrave;23585,765;114,735;39,164;24,334;0;23763,998;178,233;2,985944364
Artigues-près-Bordeaux;8938,013;0;0;0;0;8938,013;0;1,123060587
Bègles;28208,662;2156,269;1585,865;329,216;0;32280,012;4071,35;4,055980812
Bassens;8477,105;157,081;173,202;156,604;0;8963,992;486,887;1,126324846
Blanquefort;20042,038;608,548;825,42;0;0;21476,006;1433,968;2,698458361
Bordeaux;207366,905;13195,759;10930,126;6001,223;1161,983;238655,996;31289,091;29,98710597
Bouliac;3456,773;78,618;122,196;48,403;0;3705,99;249,217;0,465657334
Bruges;14377,95;12,059;0;0;0;14390,009;12,059;1,808103429
Carbon-Blanc;10671,007;0;0;0;0;10671,007;0;1,340811138
Cenon;20119,993;2262,546;1065,246;375,209;0;23822,994;3703,001;2,993357207
Eysines;25802,023;0;0;0;0;25802,023;0;3,242022035
Floirac;27068,794;640,402;1584,266;7892,653;3392,893;40579,008;13510,214;5,098748967
Gradignan;290,014;0;0;0;0;290,014;0;0,036440235
Le Bouscat;25622,982;0;0;0;0;25622,982;0;3,219525549
Le Haillan;10308;0;0;0;0;10308;0;1,295199339
Le Taillan-Médoc;11165,99;0;0;0;0;11165,99;0;1,403005711
Lormont;22278,498;88,191;248,181;45,119;0;22659,989;381,491;2,847225726
Mérignac;64246,005;0;0;0;0;64246,005;0;8,072505164
Martignas-sur-Jalle;8141,997;0;0;0;0;8141,997;0;1,023041243
Parempuyre;10675,995;259,833;73,942;24,233;0;11034,003;358,008;1,386421556
Pessac;54142,027;0;0;0;0;54142,027;0;6,802941172
Saint-Aubin-de-Médoc;7495,01;;0;0;0;7495,01;0;0,941747381
Saint-Louis-de-Montferrand;0;157,615;1371,556;584,198;47,633;2161,002;2161,002;0,271529721
Saint-Médard-en-Jalles;2615,995;0;0;0;0;2615,995;0;0,328699553
Saint-Vincent-de-Paul;44,387;307,592;105,064;504,229;38,728;1000;955,613;0,125649916
Talence;73696,991;0;0;0;0;73696,991;0;9,260020765
Villenave-d'Ornon;44897,73;180,901;101,371;0;0;45180,002;282,272;5,676863479
