Communes;0;0,5;1;2;>2;Effectifs;Eff_Reel;#NOM?
Ambès;0;0;116,337;1930,979;1005,678;3052,994;3052,994;0,383608441165914
Ambarès-et-Lagrave;23199,449;282,986;40,381;147,174;94,008;23763,998;564,549000000003;2,98594436433543
Artigues-près-Bordeaux;8938,01300000001;0;0;0;0;8938,01300000001;0;1,12306058709931
Bègles;21510,133;2364,452;1668,343;3565,969;3171,115;32280,012;10769,879;4,05598081232292
Bassens;8532,6;118,731;312,661;0;0;8963,992;431,392;1,12632484627999
Blanquefort;16591,998;1569,331;246,676;1487,849;1580,152;21476,006;4884,008;2,69845836058957
Bordeaux;169255,984999999;11293,597;21641,038;23349,355;13116,021;238655,995999999;69400,011;29,9871059689139
Bouliac;3414,979;0;30,591;43,214;217,206;3705,99;291,011;0,465657334038804
Bruges;10568,38;341,639;276,01;792,738;2411,242;14390,009;3821,629;1,80810342924142
Carbon-Blanc;10671,007;0;0;0;0;10671,007;0;1,34081113848916
Cenon;19567,491;283,878;658,683;1516,605;1796,337;23822,994;4255,503;2,99335720680909
Eysines;25741,0270000001;49,347;0;11,649;0;25802,0230000001;60,9960000000028;3,24202203540429
Floirac;25919,125;243,127;1031,61;1210,957;12174,189;40579,008;14659,883;5,09874896673205
Gradignan;290,014;0;0;0;0;290,014;0;0,0364402348829678
Le Bouscat;22492,8970000001;204,137;97,02;227,019;2601,909;25622,9820000001;3130,085;3,21952554870474
Le Haillan;10308;0;0;0;0;10308;0;1,29519933925132
Le Taillan-Médoc;11165,99;0;0;0;0;11165,99;0;1,4030057111066
Lormont;22292,993;154,492;160,793;0;51,711;22659,989;366,995999999999;2,84722572567347
Mérignac;64246,005;0;0;0;0;64246,005;0;8,07250516351735
Martignas-sur-Jalle;8141,997;0;0;0;0;8141,997;0;1,02304124316902
Parempuyre;9266,75800000002;309,213;808,849;405,328;243,855;11034,003;1767,245;1,38642155557791
Pessac;54142,027;0;0;0;0;54142,027;0;6,80294117152959
Saint-Aubin-de-Médoc;7495,00999999999;0;0;0;0;7495,00999999999;0;0,941747380644355
Saint-Louis-de-Montferrand;0;16,478;606,82;1478,725;58,979;2161,002;2161,002;0,271529720849901
Saint-Médard-en-Jalles;2615,995;0;0;0;0;2615,995;0;0,328699553306631
Saint-Vincent-de-Paul;0;0;32,957;436,63;530,413;1000;1000;0,125649916497024
Talence;73696,991;0;0;0;0;73696,991;0;9,26002076523189
Villenave-d'Ornon;43269,238;501,293;659,355;602,289;147,827;45180,002;1910,764;5,67686347863536
Effectifs;673334,102;17732,701;28388,124;37206,48;39200,642;795862,049;122527,947;100
